Species,Spp Code,Threat,Stress,Sensitivity,Literature Quote,Citation
Canada Warbler (Cardellina canadensis),canwar,5.3.1 Logging and wood harvesting,1.1 Ecosystem conversion,Negative impact (Literature),Identified as a threat to non-breeding habitat (Table 3),"""Canadian Wildlife Service, BirdLife International. 2021. The Canada Warbler full-life-cycle conservation action plan. Gatineau, Québec, Canada and Quito, Ecuador."""
Canada Warbler (Cardellina canadensis),canwar,5.3.1 Logging and wood harvesting,1.1 Ecosystem conversion,Negative impact (Literature),"Present in 10- and 20-yr-old clearcuts and selectively-cut areas but not in recent clear-cuts or uncut, mature forest areas in maple-oak-beech forests in West Virginia (207). ","""Reitsma LR, Hallworth MT, McMahon M, Conway CJ. 2020. Canada Warbler (Cardellina canadensis), version 2.0. Birds of the WorldDOI: 10.2173/bow.canwar.02species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/canwar/cur/introduction (accessed May 15, 2024)."""
Canada Warbler (Cardellina canadensis),canwar,5.3.1 Logging and wood harvesting,1.2 Ecosystem degradation,Negative impact (Literature),"Overall, our results indicate that forest degradation has led to habitat declines for the majority of forest bird species with negative consequences for bird populations, particularly species associated with older forest. Forest changes include conversion from mixed-species forests to single-species conifer-dominated plantations or thinnings (Fig. 1c,d,e) and clear-cutting old forests without equivalent regrowth into old age classes (Fig. 1c,d and Extended Data Fig. 1). Notably, over the same time period, forest cover changed very little (Fig. 3a), and harvest practices in this region are considered sustainable from a wood-production standpoint30.

The habitat changes we observed were strongly associated with population size for most forest bird species in our study and appear to be driving population declines (Fig. 5 and Extended Data Fig. 8) in several species, including those associated with old forest (for example, bay-breasted warbler [Setophaga castanea], Blackburnian warbler, boreal chickadee, winter wren [Troglodytes hiemalis]).","""Betts MG, Yang Z, Hadley AS, Smith AC, Rousseau JS, Northrup JM, Nocera JJ, Gorelick N, Gerber BD. 2022. Forest degradation drives widespread avian habitat and population declines. Nature Ecology &amp; Evolution 6:709–719. Available from https://www.nature.com/articles/s41559-022-01737-8 (accessed May 15, 2024)."""
Canada Warbler (Cardellina canadensis),canwar,5.3.1 Logging and wood harvesting,1.2 Ecosystem degradation,Positive impact (Literature),"Abundance highest in areas heavily logged 5ï¿½15 yr prior (compared to less-heavily logged and unlogged areas), based on point-count surveys of northern hardwood (mapleï¿½birchï¿½beech) forests in New York (226).","""Reitsma LR, Hallworth MT, McMahon M, Conway CJ. 2020. Canada Warbler (Cardellina canadensis), version 2.0. Birds of the WorldDOI: 10.2173/bow.canwar.02species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/canwar/cur/introduction (accessed May 15, 2024)."""
Canada Warbler (Cardellina canadensis),canwar,5.3.1 Logging and wood harvesting,2.4 Reduced reproductive success,Negative impact (Literature),"Rate of habitat change considered moderate to rapid in British Columbia owing to logging of aspen forests for pulpwood and brush control; increased nest parasitism and nest predation resulting from habitat fragmentation considered short-term population threat, but much habitat will probably remain unharvested due to steepness of slopes (126).","""Reitsma LR, Hallworth MT, McMahon M, Conway CJ. 2020. Canada Warbler (Cardellina canadensis), version 2.0. Birds of the WorldDOI: 10.2173/bow.canwar.02species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/canwar/cur/introduction (accessed May 15, 2024)."""
Canada Warbler (Cardellina canadensis),canwar,7.3.1 Inadequate forest management,1.2 Ecosystem degradation,Negative impact (Literature),Identified as a threat to non-breeding habitat (Table 3),"""Canadian Wildlife Service, BirdLife International. 2021. The Canada Warbler full-life-cycle conservation action plan. Gatineau, Québec, Canada and Quito, Ecuador."""
Canada Warbler (Cardellina canadensis),canwar,7.3.1 Inadequate forest management,1.2 Ecosystem degradation,Negative impact (Literature),Management practices aimed at reducing the broad-leafed component in forests of Maritimes Provinces would likely have a negative effect if continued over wide areas (183).,"""Reitsma LR, Hallworth MT, McMahon M, Conway CJ. 2020. Canada Warbler (Cardellina canadensis), version 2.0. Birds of the WorldDOI: 10.2173/bow.canwar.02species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/canwar/cur/introduction (accessed May 15, 2024)."""
Canada Warbler (Cardellina canadensis),canwar,8.1.1 Domestic cats,2.1 Species mortality,Negative impact (Extrapolated),"This species has similar life history characteristics similar to other species listed in the literature as being affected by cats. Further, Blancher 2012 identified several characteristics that identifies vulnerability to cats, including nesting or foraging low to the ground, small body mass, and frequents suburban landscapes. This species fits those criteria.","""Blancher P. 2013. Estimated number of birds killed by house cats (Felis catus) in Canada. Avian Conservation and Ecology 8. Available from https://www.ace-eco.org/vol8/iss2/art3/ (accessed May 15, 2024)."""
Canada Warbler (Cardellina canadensis),canwar,9.6.1 Light pollution,2.1 Species mortality,Negative impact (Literature),"At a fine scale, negative consequences have been demonstrated for birds during nocturnal migratory flight. Point sources of ALAN disorient and attract birds actively engaged in migration27,31–34 to the extent that birds can be “trapped” by bright sources of ALAN when migrating over urban areas. High-intensity urban light installations can dramatically alter multiple behaviors of nocturnally migrating birds even to distances of several kilometers from the source35. Migrants will slow down their flight speed, start circling the light source, and call more frequently near the lights. It is well known that bird mortality due to collisions with buildings is related to light emissions from the buildings","""Cabrera-Cruz SA, Smolinsky JA, Buler JJ. 2018. Light pollution is greatest within migration passage areas for nocturnally-migrating birds around the world. Scientific Reports (Nature Publisher Group) 8:1–8. Available from https://www.proquest.com/docview/2004127038/abstract/3A5554D8374140E2PQ/1 (accessed May 16, 2024)."""
Cape May Warbler (Setophaga tigrina),camwar,1.1.1 High-density urban development,2.1 Species mortality,Negative impact (Extrapolated),"Considering the family level ofbirds in the CCA, we noted that members of the Parulidae were more strongly associated with higher GreenLevels (high tree canopy and exposed habitats; Fig.5).","""Cusa M, Jackson DA, Mesure M. 2015. Window collisions by migratory bird species: Urban geographical patterns and habitat associations. Urban Ecosystems 18:1427–1446. Available from https://doi.org/10.1007/s11252-015-0459-3 (accessed May 15, 2024)."""
Cape May Warbler (Setophaga tigrina),camwar,1.1.1 High-density urban development,2.1 Species mortality,Negative impact (Literature),Table 4: Estimates of species vulnerability to building collisions,"""Loss SR, Will T, Loss SS, Marra PP. 2014. Bird–building collisions in the United States: Estimates of annual mortality and species vulnerability. The Condor 116:8–23. Available from https://doi.org/10.1650/CONDOR-13-090.1 (accessed May 15, 2024)."""
Cape May Warbler (Setophaga tigrina),camwar,1.1.2 Low-density suburban development,1.2 Ecosystem degradation,Negative impact (Extrapolated),"Flycatchers, tanagers, vireos, warblers, thrushes, and bluebirds respond negatively to urbanization in ponderosa pine forests.","""Chace JF, Walsh JJ. 2006. Urban effects on native avifauna: a review. Landscape and Urban Planning 74:46–69. Available from https://www.sciencedirect.com/science/article/pii/S016920460400146X (accessed May 15, 2024)."""
Cape May Warbler (Setophaga tigrina),camwar,1.1.2 Low-density suburban development,1.2 Ecosystem degradation,Negative impact (Extrapolated),"Table 1, list of sensitive species","""Glennon MJ, Kretser HE. 2013. Size of the ecological effect zone associated with exurban development in the Adirondack Park, NY. Landscape and Urban Planning 112:10–17."""
Cape May Warbler (Setophaga tigrina),camwar,2.1.3 Agriculture development,1.1 Ecosystem conversion,Negative impact (Extrapolated),"Today, the expansion of agriculture continues to be the major driver of biodiversity loss. Agriculture affects every type of habitat and impacts 76% of the landbird species of highest conservation concern; 65% are threatened by unsustainable livestock grazing. Preventing the conversion of large areas of habitat, whether grassland, forest, or aridlands, in the core distribution of species of concern will be necessary to stem the rapid decline of many landbirds","""Berlanga H, Kennedy J, Rich T. 2010. Saving our shared birds: Partners in Flight Tri-national vision for landbird conservation. United States Fish and Wildlife: Staff Publications. Available from https://digitalcommons.unl.edu/usfwspubs/376."""
Cape May Warbler (Setophaga tigrina),camwar,2.1.3 Agriculture development,1.1 Ecosystem conversion,No negative impact (Extrapolated),"The most abundant families were: Trochilidae, Tyrannidae with 12 species respecting, Parulidae 11, and Icteridae with nine species.","""Anonymous. 2018. Avifauna study for the Acajutla-Ahuachapán row of “LNG to Power” project transmission line, Energía del Pacífico, El Salvador. Page 33. Available from https://www3.dfc.gov/Environment/EIA/energia/Transmission_ESIA/Avifauna_Study.pdf."""
Cape May Warbler (Setophaga tigrina),camwar,3.1.1 Onshore oil and gas development,1.2 Ecosystem degradation,Negative impact (Literature),Table 2 or Table 3 negative impact from seismic,"""Leston L et al. 2022, April 18. Comparing alternative methods of modelling cumulative effects of oil and gas footprint on boreal bird abundance. Available from https://www.researchsquare.com/article/rs-1550900/v1 (accessed July 18, 2024)."""
Cape May Warbler (Setophaga tigrina),camwar,3.1.2 Onshore oil and gas production,1.2 Ecosystem degradation,Negative impact (Literature),"Table 2 or Table 3 negative impact from pipeline, well, road, or facility","""Leston L et al. 2022, April 18. Comparing alternative methods of modelling cumulative effects of oil and gas footprint on boreal bird abundance. Available from https://www.researchsquare.com/article/rs-1550900/v1 (accessed July 18, 2024)."""
Cape May Warbler (Setophaga tigrina),camwar,3.3.1 Onshore wind turbine installations,2.1 Species mortality,Negative impact (Literature),Appendix S1,"""Choi DY, Wittig TW, Kluever BM. 2020. An evaluation of bird and bat mortality at wind turbines in the Northeastern United States. PLOS ONE 15:e0238034. Available from https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0238034 (accessed May 15, 2024)."""
Cape May Warbler (Setophaga tigrina),camwar,4.1.1 Roadways,2.1 Species mortality,Possible negative impact (Literature),"Causes of death recorded from band recoveries (n = 54): 6% were hit by cars, 2% were found dead on highway, 8% struck stationary object, 19% were shot (mostly on wintering grounds), and 11% were caught by cats.","""Baltz ME, Latta SC. 2020. Cape May Warbler (Setophaga tigrina), version 1.0. Birds of the World DOI: 10.2173/bow.camwar.01species_shared.bow.project_name. Cornell Lab of Ornithology, Ithaca, NY, USA. Available from https://birdsoftheworld.org/bow/species/camwar/cur/introduction (accessed May 15, 2024)."""
Cape May Warbler (Setophaga tigrina),camwar,4.2.1 Power transmission and distribution lines,2.1 Species mortality,Possible negative impact (Extrapolated),"Table 1 (very low overal numbers, so 0.5)",Bevanger K. 1998. Biological and conservation aspects of bird mortality caused by electricity power lines: a review. Biological Conservation 86:67–76.
Cape May Warbler (Setophaga tigrina),camwar,4.2.2 Communication towers,2.1 Species mortality,Negative impact (Literature),"Hundreds of Cape May Warblers killed in collisions with towers during nocturnal migration across Canada and U.S., but few strikes involve >100 individuals on a single night (Taylor 1973c).","""Baltz ME, Latta SC. 2020. Cape May Warbler (Setophaga tigrina), version 1.0. Birds of the World DOI: 10.2173/bow.camwar.01species_shared.bow.project_name. Cornell Lab of Ornithology, Ithaca, NY, USA. Available from https://birdsoftheworld.org/bow/species/camwar/cur/introduction (accessed May 15, 2024)."""
Cape May Warbler (Setophaga tigrina),camwar,4.2.2 Communication towers,2.1 Species mortality,Negative impact (Literature),"Table 3. Per species avian annual mortality at communication towers in central and eastern North America, for species with >1% annual mortality from communication towers.","""Longcore T et al. 2013. Avian mortality at communication towers in the United States and Canada: which species, how many, and where? Biological Conservation 158:410–419. Available from https://www.sciencedirect.com/science/article/pii/S0006320712004144 (accessed May 16, 2024)."""
Cape May Warbler (Setophaga tigrina),camwar,4.2.2 Communication towers,2.1 Species mortality,Negative impact (Literature),"Table 5. The ten species of birds killed most at communication towers in each region, as calculated by weighted averages of proportions killed at each location","""Longcore T et al. 2013. Avian mortality at communication towers in the United States and Canada: which species, how many, and where? Biological Conservation 158:410–419. Available from https://www.sciencedirect.com/science/article/pii/S0006320712004144 (accessed May 16, 2024)."""
Cape May Warbler (Setophaga tigrina),camwar,5.3.1 Logging and wood harvesting,1.1 Ecosystem conversion,Negative impact (Literature),Dependence on large forests for nesting makes this species especially vulnerable to population decreases. ,"""Baltz ME, Latta SC. 2020. Cape May Warbler (Setophaga tigrina), version 1.0. Birds of the World DOI: 10.2173/bow.camwar.01species_shared.bow.project_name. Cornell Lab of Ornithology, Ithaca, NY, USA. Available from https://birdsoftheworld.org/bow/species/camwar/cur/introduction (accessed May 15, 2024)."""
Cape May Warbler (Setophaga tigrina),camwar,7.3.1 Inadequate forest management,1.2 Ecosystem degradation,Negative impact (Literature),"Neotropical migrants associated with “overmature” mixed-wood stands included Cape May Dendroica tigrina, bay-breasted D. castanea and Tennessee Vermivora peregrina warblers. Conversely, orange-crowned V. celata, palm D. palmarum, and Nashville V. ruficapilla warblers were found in young stands. 

The presence of several Neotropical migrants was associated with mixed-wood attributes (ovenbird Seiurus aurocapillus with aspen, red-eyed vireo Vireo olivaceus with shrub alder, and Swainson’s thrush Catharus ustulatus with canopy white birch). 

Jack pine stands older than commercial rotation age must be maintained in a managed landscape because their bird communities differ from younger stands. Because of the limited avian diversity in pure jack pine stands, sufficient mixed-wood stands must be regenerated to sustain populations of characteristic bird species. We recommend that jack pine mixed-woods be managed using shelterwood or selective cuts, and that rotation age of some stands be increased. Without the extensive fires necessary for regeneration, cutting patterns at the landscape level should approximate natural disturbance patches both in size and frequency of disturbance.","""Kirk DA, Hobson KA. 2001. Bird–habitat relationships in jack pine boreal forests. Forest Ecology and Management 147:217–243."""
Cape May Warbler (Setophaga tigrina),camwar,9.6.1 Light pollution,2.1 Species mortality,Negative impact (Extrapolated),"At a fine scale, negative consequences have been demonstrated for birds during nocturnal migratory flight. Point sources of ALAN disorient and attract birds actively engaged in migration27,31–34 to the extent that birds can be “trapped” by bright sources of ALAN when migrating over urban areas. High-intensity urban light installations can dramatically alter multiple behaviors of nocturnally migrating birds even to distances of several kilometers from the source35. Migrants will slow down their flight speed, start circling the light source, and call more frequently near the lights. It is well known that bird mortality due to collisions with buildings is related to light emissions from the buildings","""Cabrera-Cruz SA, Smolinsky JA, Buler JJ. 2018. Light pollution is greatest within migration passage areas for nocturnally-migrating birds around the world. Scientific Reports (Nature Publisher Group) 8:1–8. Available from https://www.proquest.com/docview/2004127038/abstract/3A5554D8374140E2PQ/1 (accessed May 16, 2024)."""
Cerulean Warbler (Setophaga cerulea),cerwar,1 Residential & Commercial Development,1.1 Ecosystem conversion,Negative impact (Literature),"The conversion of suitable breeding habitat for human use is a major threat to the persistence of Cerulean Warbler in Canada (COSEWIC 2003).  Mature forest habitat has been and continues to be destroyed to accommodate residential, agricultural and other development, and has been described as the most serious long-term threat to the Cerulean Warbler in its breeding range (Hamel 2000).  The threat imposed by a lack of habitat is thought to be a particular concern in southwestern Ontario, where forest cover is about 14% (Ontario Partners in Flight 2008).   ","""Environment Canada. 2011. Management Plan for the Cerulean Warbler (Dendroica cerulea) in Canada. Species at Risk Act Management Plan Series. Environment Canada, Ottawa. iii + 19 pp. Available from https://www.canada.ca/en/environment-climate-change/services/species-risk-public-registry/management-plans/cerulean-warbler-2011.html (accessed July 23, 2024)."""
Cerulean Warbler (Setophaga cerulea),cerwar,1 Residential & Commercial Development,1.1 Ecosystem conversion,Negative impact (Literature),"The loss and fragmentation of humid montane forest on the wintering grounds are identified as threats to the Canadian populations of Cerulean Warbler (COSEWIC 2003).  Montane forests in the northern Andes, where the Cerulean Warbler is known to winter, have experienced some of the highest deforestation rates in the neotropics, with 90% of the northern Andes having been deforested (Bakermans et al. 2009) to accommodate population growth and agriculture.","""Environment Canada. 2011. Management Plan for the Cerulean Warbler (Dendroica cerulea) in Canada. Species at Risk Act Management Plan Series. Environment Canada, Ottawa. iii + 19 pp. Available from https://www.canada.ca/en/environment-climate-change/services/species-risk-public-registry/management-plans/cerulean-warbler-2011.html (accessed July 23, 2024)."""
Cerulean Warbler (Setophaga cerulea),cerwar,1.1 Housing & Urban Areas,1.1 Ecosystem conversion,Negative impact (Literature),Threats & impact table,BirdLife International. 2021. IUCN Red List for birds. Available from https://datazone.birdlife.org/species/search.
Cerulean Warbler (Setophaga cerulea),cerwar,1.1 Housing & Urban Areas,1.1 Ecosystem conversion,Negative impact (Literature),Large areas of potential breeding terrain are not currently inhabitable by this warbler because they lie in urban areas or because they have been converted to agricultural land uses.,"""Buehler DA, Hamel PB, Boves T. 2020. Cerulean Warbler (Setophaga cerulea), version 1.0. Birds of the WorldDOI: 10.2173/bow.cerwar.01species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/cerwar/cur/introduction (accessed May 15, 2024)."""
Cerulean Warbler (Setophaga cerulea),cerwar,1.1 Housing & Urban Areas,1.2 Ecosystem degradation,Negative impact (Literature),Threats & impact table,BirdLife International. 2021. IUCN Red List for birds. Available from https://datazone.birdlife.org/species/search.
Cerulean Warbler (Setophaga cerulea),cerwar,1.1.1 High-density urban development,1.1 Ecosystem conversion,Negative impact (Literature),"Outright loss of breeding habitat to other land uses (such as agriculture, surface mining, and urbanization) likely leads to a smaller overall breeding population and lower reproductive output. habitat conversion and degradation;",U.S. Fish and Wildlife Service. 2007. A conservation action plan for the Cerulean Warbler (Dendroica cerulea). Available from https://partnersinflight.org/wp-content/uploads/2017/03/CeruleanWarbler-Focal-Species-Plan.pdf.
Cerulean Warbler (Setophaga cerulea),cerwar,1.1.1 High-density urban development,1.2 Ecosystem degradation,Negative impact (Literature),"Specifically,  rock  doves, mourning doves, chimney swifts, American robins, European starlings, house sparrows, and common grackles responded positively to urbanization; flycatchers, red-eyed  vireos,  cerulean  warblers,  and  most  woodpeckers  (except  northern  flickers  and  downy  woodpeckers) responded negatively.","""Chace JF, Walsh JJ. 2006. Urban effects on native avifauna: a review. Landscape and Urban Planning 74:46–69. Available from https://www.sciencedirect.com/science/article/pii/S016920460400146X (accessed May 15, 2024)."""
Cerulean Warbler (Setophaga cerulea),cerwar,1.1.1 High-density urban development,2.1 Species mortality,Negative impact (Extrapolated),"Considering the family level ofbirds in the CCA, we noted that members of the Parulidae were more strongly associated with higher GreenLevels (high tree canopy and exposed habitats; Fig.5).","""Cusa M, Jackson DA, Mesure M. 2015. Window collisions by migratory bird species: Urban geographical patterns and habitat associations. Urban Ecosystems 18:1427–1446. Available from https://doi.org/10.1007/s11252-015-0459-3 (accessed May 15, 2024)."""
Cerulean Warbler (Setophaga cerulea),cerwar,1.1.2 Low-density suburban development,1.2 Ecosystem degradation,Negative impact (Extrapolated),"Flycatchers, tanagers, vireos, warblers, thrushes, and bluebirds respond negatively to urbanization in ponderosa pine forests.","""Chace JF, Walsh JJ. 2006. Urban effects on native avifauna: a review. Landscape and Urban Planning 74:46–69. Available from https://www.sciencedirect.com/science/article/pii/S016920460400146X (accessed May 15, 2024)."""
Cerulean Warbler (Setophaga cerulea),cerwar,1.1.2 Low-density suburban development,1.2 Ecosystem degradation,Negative impact (Extrapolated),"Table 1, list of sensitive species","""Glennon MJ, Kretser HE. 2013. Size of the ecological effect zone associated with exurban development in the Adirondack Park, NY. Landscape and Urban Planning 112:10–17."""
Cerulean Warbler (Setophaga cerulea),cerwar,1.1.2 Low-density suburban development,1.2 Ecosystem degradation,Negative impact (Literature),"Our reviews yielded data from 48 peer-reviewed studies that allowed us to compile a list of 219 species of forest birds, all of which utilized small forest fragments and trees within residential areas in some way either during the breeding or migration season or both.

For interior-forest specialists, fragmented landscapes caused by urbanization and agriculture generally do not provide high quality breeding habitat due to increased nest predation and to parasitism by cowbirds (Ibáñez-Álamo et al., 2015), competition with invasive species (Shochat et al., 2010), and anthropogenic pollution (e.g. noise, light, chemical, etc.) (Laurance, 2008). Even when these remaining fragments represent good quality habitat, the break in connectivity poses problems for some birds because traversing roads, bridges, open fields, and other humanmade structures involves high risk of predation and collision (Loss,
Ruiz, & Brawn, 2009).","""Archer J-MJ, Hostetler ME, Acomb G, Blair R. 2019. A systematic review of forest bird occurrence in North American forest fragments and the built environment. Landscape and Urban Planning 185:1–23."""
Cerulean Warbler (Setophaga cerulea),cerwar,2.1 Annual & Perennial Non-Timber Crops,1.1 Ecosystem conversion,Negative impact (Literature),Threats & impact table,BirdLife International. 2021. IUCN Red List for birds. Available from https://datazone.birdlife.org/species/search.
Cerulean Warbler (Setophaga cerulea),cerwar,2.1 Annual & Perennial Non-Timber Crops,1.2 Ecosystem degradation,Negative impact (Literature),Threats & impact table,BirdLife International. 2021. IUCN Red List for birds. Available from https://datazone.birdlife.org/species/search.
Cerulean Warbler (Setophaga cerulea),cerwar,2.1.3 Agriculture development,1.1 Ecosystem conversion,Negative impact (Extrapolated),"Today, the expansion of agriculture continues to be the major driver of biodiversity loss. Agriculture affects every type of habitat and impacts 76% of the landbird species of highest conservation concern; 65% are threatened by unsustainable livestock grazing. Preventing the conversion of large areas of habitat, whether grassland, forest, or aridlands, in the core distribution of species of concern will be necessary to stem the rapid decline of many landbirds","""Berlanga H, Kennedy J, Rich T. 2010. Saving our shared birds: Partners in Flight Tri-national vision for landbird conservation. United States Fish and Wildlife: Staff Publications. Available from https://digitalcommons.unl.edu/usfwspubs/376."""
Cerulean Warbler (Setophaga cerulea),cerwar,2.1.3 Agriculture development,1.1 Ecosystem conversion,Negative impact (Literature),Occupied forest patches in the Mississippi Alluvial Valley had lower proportions of surrounding cropland at distances of 2.4ï¿½8 km from breeding habitat than did patches on which Cerulean Warblers did not occur (Hamel et al. 1998a).,"""Buehler DA, Hamel PB, Boves T. 2020. Cerulean Warbler (Setophaga cerulea), version 1.0. Birds of the WorldDOI: 10.2173/bow.cerwar.01species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/cerwar/cur/introduction (accessed May 15, 2024)."""
Cerulean Warbler (Setophaga cerulea),cerwar,2.1.3 Agriculture development,1.1 Ecosystem conversion,Negative impact (Literature),"The conversion of suitable breeding habitat for human use is a major threat to the persistence of Cerulean Warbler in Canada (COSEWIC 2003).  Mature forest habitat has been and continues to be destroyed to accommodate residential, agricultural and other development, and has been described as the most serious long-term threat to the Cerulean Warbler in its breeding range (Hamel 2000).  The threat imposed by a lack of habitat is thought to be a particular concern in southwestern Ontario, where forest cover is about 14% (Ontario Partners in Flight 2008).","""Environment Canada. 2011. Management Plan for the Cerulean Warbler (Dendroica cerulea) in Canada. Species at Risk Act Management Plan Series. Environment Canada, Ottawa. iii + 19 pp. Available from https://www.canada.ca/en/environment-climate-change/services/species-risk-public-registry/management-plans/cerulean-warbler-2011.html (accessed July 23, 2024)."""
Cerulean Warbler (Setophaga cerulea),cerwar,2.1.3 Agriculture development,1.1 Ecosystem conversion,Negative impact (Literature),"The loss and fragmentation of humid montane forest on the wintering grounds are identified as threats to the Canadian populations of Cerulean Warbler (COSEWIC 2003).  Montane forests in the northern Andes, where the Cerulean Warbler is known to winter, have experienced some of the highest deforestation rates in the neotropics, with 90% of the northern Andes having been deforested (Bakermans et al. 2009) to accommodate population growth and agriculture.  ","""Environment Canada. 2011. Management Plan for the Cerulean Warbler (Dendroica cerulea) in Canada. Species at Risk Act Management Plan Series. Environment Canada, Ottawa. iii + 19 pp. Available from https://www.canada.ca/en/environment-climate-change/services/species-risk-public-registry/management-plans/cerulean-warbler-2011.html (accessed July 23, 2024)."""
Cerulean Warbler (Setophaga cerulea),cerwar,2.1.3 Agriculture development,1.1 Ecosystem conversion,Negative impact (Literature),"""The areas where Cerulean Warblers winter (humid forested slopes primarily between 800-1,600m in the Andes Mountains) are prime locations for human development and agriculture. Primary forests at these elevations are being cleared for the production of coffee, coca, tea, and hill rice, and for pasture to graze livestock (Robbins et al. 1992). (breeding) Outright loss of breeding habitat to other land uses (such as agriculture, surface mining, and urbanization) likely leads to a smaller overall breeding population and lower reproductive output.""",U.S. Fish and Wildlife Service. 2007. A conservation action plan for the Cerulean Warbler (Dendroica cerulea). Available from https://partnersinflight.org/wp-content/uploads/2017/03/CeruleanWarbler-Focal-Species-Plan.pdf.
Cerulean Warbler (Setophaga cerulea),cerwar,2.1.3 Agriculture development,1.2 Ecosystem degradation,No negative impact (Literature),"Information on Cerulean Warblers in winter is limited, but suggests that: (1) these birds do not persist when the great majority of their limited winter habitat has been converted to other land uses (Robbins et al. 1992b), and (2) they can use shade-coffee plantations, allowing them to persist in some agricultural areas (Jones and Robertson 1998, Bakermans et al. 2009, Colorado et al. 2012).","""Buehler DA, Hamel PB, Boves T. 2020. Cerulean Warbler (Setophaga cerulea), version 1.0. Birds of the WorldDOI: 10.2173/bow.cerwar.01species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/cerwar/cur/introduction (accessed May 15, 2024)."""
Cerulean Warbler (Setophaga cerulea),cerwar,2.2 Wood & Pulp Plantations,1.1 Ecosystem conversion,Negative impact (Literature),Threats & impact table,BirdLife International. 2021. IUCN Red List for birds. Available from https://datazone.birdlife.org/species/search.
Cerulean Warbler (Setophaga cerulea),cerwar,2.2 Wood & Pulp Plantations,1.2 Ecosystem degradation,Negative impact (Literature),Threats & impact table,BirdLife International. 2021. IUCN Red List for birds. Available from https://datazone.birdlife.org/species/search.
Cerulean Warbler (Setophaga cerulea),cerwar,2.3 Livestock Farming & Ranching,1.1 Ecosystem conversion,Negative impact (Literature),Threats & impact table,BirdLife International. 2021. IUCN Red List for birds. Available from https://datazone.birdlife.org/species/search.
Cerulean Warbler (Setophaga cerulea),cerwar,2.3 Livestock Farming & Ranching,1.2 Ecosystem degradation,Negative impact (Literature),Threats & impact table,BirdLife International. 2021. IUCN Red List for birds. Available from https://datazone.birdlife.org/species/search.
Cerulean Warbler (Setophaga cerulea),cerwar,2.3.2 Pasture development,1.1 Ecosystem conversion,Negative impact (Literature),"Present understanding of habitat modification in the montane subtropical forest where Cerulean Warblers winter suggests that conversion of primarily forested landscapes to pastures and farms is proceeding rapidly (Terborgh 1989, Robbins et al. 1992b, Armenteras et al. 2003).","""Buehler DA, Hamel PB, Boves T. 2020. Cerulean Warbler (Setophaga cerulea), version 1.0. Birds of the WorldDOI: 10.2173/bow.cerwar.01species_shared.bow.project_name. Available from https://birdsoftheworld.org/bow/species/cerwar/cur/introduction (accessed May 15, 2024)."""
Cerulean Warbler (Setophaga cerulea),cerwar,2.3.2 Pasture development,1.1 Ecosystem conversion,Negative impact (Literature),"Listed in Table 2 ""Projected vulnerability of neotropical migratory landbirds to anthtropogenic alteration of tropical broadleaved forests.""
","""Petit DR, Lynch JF, Hutto RL, Blake JG, Waide RB. 1993. Management and conservation of migratory landbirds overwintering in the Neotropics. Status and management of Neotropical migratory birds; 1992 September 21-25; Estes Park, CO. Gen. Tech. Rep. RM-229. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Forest and Range Experiment Station. 422 p. Pages 70–92."""
Cerulean Warbler (Setophaga cerulea),cerwar,2.3.2 Pasture development,1.1 Ecosystem conversion,Negative impact (Literature),"The areas where Cerulean Warblers winter (humid forested slopes primarily between 800-1,600m in the Andes Mountains) are prime locations for human development and agriculture. Primary forests at these elevations are being cleared for the production of coffee, coca, tea, and hill rice, and for pasture to graze livestock (Robbins et al. 1992).;",U.S. Fish and Wildlife Service. 2007. A conservation action plan for the Cerulean Warbler (Dendroica cerulea). Available from https://partnersinflight.org/wp-content/uploads/2017/03/CeruleanWarbler-Focal-Species-Plan.pdf.
Cerulean Warbler (Setophaga cerulea),cerwar,2.3.2 Pasture development,1.2 Ecosystem degradation,Negative impact (Literature),"Threats & impact table: Search terms
Region = North America
Species Threat is:
   Livestock farming & ranching - Agro-industry grazing, ranching or farming or
   Livestock farming & ranching - Nomadic grazing or
   Livestock farming & ranching - Scale Unknown/Unrecorded or
   Livestock farming & ranching - Small-holder grazing, ranching or farming",BirdLife International. 2021. IUCN Red List for birds. Available from https://datazone.birdlife.org/species/search.
Cerulean Warbler (Setophaga cerulea),cerwar,3.1.2 Onshore oil and gas production,1.2 Ecosystem degradation,Positive impact (Literature),"Table 1. Positive estimates indicate greater abundances with increasing distance from shale gas. Significant responses are in bold (? = 0.05) ...it is important to note we observed considerable variation in species-specific responses, with some forest interior gap specialists (i.e. American Redstart, Cerulean Warbler, and Eastern Wood-Pewee) showing an attraction to shale gas.","""Farwell LS, Wood PB, Brown DJ, Sheehan J. 2019. Proximity to unconventional shale gas infrastructure alters breeding bird abundance and distribution. The Condor 121:1–20. American Ornithological Society."""
